Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Adj Factor
1980-02-15,16.252389908,16.252389908,16.043260574,16.162763596,1.058355475,"2,438,435",0.00,0.00,0.065481096
1980-02-19,16.162763596,16.192638397,15.864006042,16.013383865,1.048573927,"1,878,616",0.00,0.00,0.065481096
1980-02-20,16.043260574,16.192638397,16.043260574,16.073135376,1.052486521,"1,112,944",0.00,0.00,0.065481096
1980-02-21,16.043260574,16.043260574,15.744503021,15.834130287,1.036836206,"1,502,056",0.00,0.00,0.065481096
1980-02-22,15.834130287,15.834130287,15.654875755,15.774378777,1.032923611,"1,910,833",0.00,0.00,0.065481096
1980-02-25,15.744503021,15.744503021,15.505496979,15.565249443,1.019229593,"2,273,167",0.00,0.00,0.065481096
1980-02-26,15.565249443,15.625000000,15.445746422,15.535372734,1.017273234,"2,209,152",0.00,0.00,0.065481096
1980-02-27,15.535372734,15.565249443,14.818355560,14.818355560,0.970322163,"2,881,521",0.00,0.00,0.065481096
1980-02-28,14.848231316,15.296366692,14.848231316,15.146988869,0.991841433,"2,885,705",0.00,0.00,0.065481096
1980-02-29,15.146988869,15.236616135,15.057360649,15.176863670,0.993797667,"2,729,223",0.00,0.00,0.065481096
1980-03-03,15.176863670,15.176863670,14.967734337,14.997610092,0.982059947,"1,424,652",0.00,0.00,0.065481096
1980-03-04,14.997610092,15.146988869,14.878107071,15.117113113,0.989885135,"1,873,177",0.00,0.00,0.065481096
1980-03-05,15.087237358,15.087237358,14.758604050,14.818355560,0.970322163,"1,917,946",0.00,0.00,0.065481096
1980-03-06,14.818355560,14.878107071,14.489723206,14.609226227,0.956628145,"2,876,082",0.00,0.00,0.065481096
1980-03-07,14.609226227,14.788479805,14.549473763,14.579350471,0.954671848,"2,616,255",0.00,0.00,0.065481096
1980-03-10,14.609226227,14.878107071,14.609226227,14.728728294,0.964453272,"2,055,599",0.00,0.00,0.065481096
1980-03-11,14.728728294,14.878107071,14.698852539,14.878107071,0.974234758,"2,101,623",0.00,0.00,0.065481096
1980-03-12,14.848231316,14.848231316,14.549473763,14.668976784,0.960540677,"2,073,590",0.00,0.00,0.065481096
1980-03-13,14.639101028,14.639101028,14.310467720,14.370220184,0.940977768,"2,347,224",0.00,0.00,0.065481096
1980-03-14,14.370220184,14.519598007,14.250717163,14.310467720,0.937065111,"2,033,006",0.00,0.00,0.065481096
1980-03-17,14.310467720,14.429970741,14.131214142,14.131214142,0.925327390,"1,735,105",0.00,0.00,0.065481096
1980-03-18,14.131214142,14.400095940,14.011711121,14.250717163,0.933152579,"2,065,222",0.00,0.00,0.065481096
1980-03-19,14.250717163,14.280592918,14.041586876,14.071462631,0.921414796,"1,541,804",0.00,0.00,0.065481096
1980-03-20,14.071462631,14.161089897,13.862333298,13.922083855,0.911633310,"2,005,391",0.00,0.00,0.065481096
1980-03-21,13.892208099,13.892208099,13.444072723,13.563575745,0.888157806,"6,192,320",0.00,0.00,0.065481096
1980-03-24,13.473947525,13.473947525,12.906310081,12.936184883,0.847075565,"3,011,643",0.00,0.00,0.065481096
1980-03-25,12.936184883,13.175190926,12.906310081,13.085563660,0.856857051,"3,138,837",0.00,0.00,0.065481096
1980-03-26,13.085563660,13.354446411,12.547801018,12.667304039,0.829468952,"3,266,030",0.00,0.00,0.065481096
1980-03-27,12.667304039,13.742830276,12.278920174,13.742830276,0.899895589,"3,578,575",0.00,0.00,0.065481096
1980-03-28,13.473947525,13.473947525,12.936184883,13.354446411,0.874463788,"2,420,026",0.00,0.00,0.065481096
1980-03-31,13.354446411,13.354446411,13.055687904,13.324569702,0.872507428,"1,627,576",0.00,0.00,0.065481096
1980-04-01,13.324569702,13.324569702,13.025813103,13.115440369,0.858813410,"2,257,268",0.00,0.00,0.065481096
1980-04-02,13.115440369,13.384321213,13.055687904,13.264818192,0.868594834,"15,629,332",0.00,0.00,0.065481096
1980-04-03,13.264818192,13.354446411,13.055687904,13.115440369,0.858813410,"1,417,539",0.00,0.00,0.065481096
1980-04-07,13.115440369,13.115440369,12.756931305,12.756931305,0.835337844,"2,294,087",0.00,0.00,0.065481096
1980-04-08,12.756931305,13.324569702,12.667304039,12.786807060,0.837294141,"2,184,048",0.00,0.00,0.065481096
1980-04-09,12.786807060,13.085563660,12.756931305,13.055687904,0.854900753,"2,145,974",0.00,0.00,0.065481096
1980-04-10,13.055687904,13.205066681,12.906310081,12.966060638,0.849031862,"2,112,502",0.00,0.00,0.065481096
1980-04-11,12.966060638,13.145315170,12.786807060,12.786807060,0.837294141,"2,726,713",0.00,0.00,0.065481096
1980-04-14,12.786807060,12.846557617,12.607552528,12.667304039,0.829468952,"1,397,874",0.00,0.00,0.065481096
1980-04-15,12.667304039,12.786807060,12.398423195,12.428297997,0.813818575,"2,426,302",0.00,0.00,0.065481096
1980-04-16,12.428297997,12.637428284,12.189292908,12.219167709,0.800124494,"2,812,903",0.00,0.00,0.065481096
1980-04-17,12.219167709,12.338670731,12.039914131,12.249044418,0.802080854,"1,886,984",0.00,0.00,0.065481096
1980-04-18,12.249044418,12.368547440,12.159417152,12.249044418,0.802080854,"1,723,390",0.00,0.00,0.065481096
1980-04-21,12.249044418,12.338670731,12.069789886,12.249044418,0.802080854,"2,777,339",0.00,0.00,0.065481096
1980-04-22,12.428297997,13.025813103,12.428297997,12.876434326,0.843163033,"3,438,411",0.00,0.00,0.065481096
1980-04-23,12.876434326,12.995937347,12.727054596,12.786807060,0.837294141,"3,185,698",0.00,0.00,0.065481096
1980-04-24,12.786807060,12.966060638,12.727054596,12.846557617,0.841206673,"1,556,448",0.00,0.00,0.065481096
1980-04-25,12.846557617,13.234943390,12.637428284,13.234943390,0.866638599,"1,706,235",0.00,0.00,0.065481096
1980-04-28,13.234943390,13.234943390,12.995937347,13.025813103,0.852944519,"1,941,376",0.00,0.00,0.065481096
1980-04-29,13.025813103,13.175190926,12.936184883,13.115440369,0.858813410,"1,250,598",0.00,0.00,0.065481096
1980-04-30,13.115440369,13.175190926,12.816682816,13.115440369,0.858813410,"1,467,747",0.00,0.00,0.065481096
1980-05-01,13.115440369,13.115440369,12.846557617,12.995937347,0.850988221,"1,221,310",0.00,0.00,0.065481096
1980-05-02,12.995937347,12.995937347,12.876434326,12.906310081,0.845119330,"1,020,059",0.00,0.00,0.065481096
1980-05-05,12.906310081,13.324569702,12.846557617,13.234943390,0.866638599,"1,442,643",0.00,0.00,0.065481096
1980-05-06,13.234943390,13.324569702,13.085563660,13.115440369,0.858813410,"1,483,646",0.00,0.00,0.065481096
1980-05-07,13.115440369,13.324569702,13.085563660,13.175190926,0.862725942,"1,735,523",0.00,0.00,0.065481096
1980-05-08,12.995937347,12.995937347,12.786807060,12.876434326,0.843163033,"1,624,647",0.21,0.00,0.065481096
1980-05-09,12.846557617,12.846557617,12.428297997,12.458173752,0.829008232,"4,372,280",0.00,0.00,0.066543319
1980-05-12,12.458173752,12.667304039,12.458173752,12.488050461,0.830996328,"1,298,714",0.00,0.00,0.066543319
1980-05-13,12.517925262,12.727054596,12.517925262,12.727054596,0.846900456,"1,839,705",0.00,0.00,0.066543319
1980-05-14,12.727054596,12.786807060,12.667304039,12.667304039,0.842924456,"1,796,191",0.00,0.00,0.066543319
1980-05-15,12.667304039,12.727054596,12.547801018,12.547801018,0.834972328,"1,780,292",0.00,0.00,0.066543319
1980-05-16,12.547801018,12.667304039,12.547801018,12.667304039,0.842924456,"1,276,120",0.00,0.00,0.066543319
1980-05-19,12.667304039,12.846557617,12.637428284,12.756931305,0.848888551,"2,090,745",0.00,0.00,0.066543319
1980-05-20,12.756931305,12.786807060,12.577676773,12.607552528,0.838948392,"2,584,457",0.00,0.00,0.066543319
1980-05-21,12.607552528,12.637428284,12.458173752,12.637428284,0.840936424,"1,360,218",0.00,0.00,0.066543319
1980-05-22,12.637428284,12.936184883,12.607552528,12.846557617,0.854852584,"2,388,227",0.00,0.00,0.066543319
1980-05-23,12.876434326,13.145315170,12.876434326,13.085563660,0.870756839,"3,353,476",0.00,0.00,0.066543319
1980-05-27,13.115440369,13.294693947,13.115440369,13.205066681,0.878708967,"2,743,867",0.00,0.00,0.066543319
1980-05-28,13.205066681,13.533699989,13.175190926,13.473947525,0.896601191,"2,643,451",0.00,0.00,0.066543319
1980-05-29,13.414196968,13.414196968,12.995937347,12.995937347,0.864792807,"1,934,263",0.00,0.00,0.066543319
1980-05-30,12.995937347,13.264818192,12.936184883,13.234943390,0.880697062,"1,844,307",0.00,0.00,0.066543319
1980-06-02,13.234943390,13.712953568,13.205066681,13.384321213,0.890637158,"2,853,070",0.00,0.00,0.066543319
1980-06-03,13.384321213,13.653203011,13.384321213,13.473947525,0.896601191,"2,738,846",0.00,0.00,0.066543319
1980-06-04,13.503824234,13.892208099,13.503824234,13.892208099,0.924433638,"3,790,286",0.00,0.00,0.066543319
1980-06-05,13.892208099,13.951959610,13.593450546,13.623327255,0.906541414,"2,735,081",0.00,0.00,0.066543319
1980-06-06,13.653203011,13.832456589,13.653203011,13.653203011,0.908529446,"1,353,106",0.00,0.00,0.066543319
1980-06-09,13.653203011,13.742830276,13.533699989,13.563575745,0.902565350,"1,330,094",0.00,0.00,0.066543319
1980-06-10,13.563575745,13.802580833,13.533699989,13.742830276,0.914493541,"1,548,080",0.00,0.00,0.066543319
1980-06-11,13.742830276,13.951959610,13.683077812,13.862333298,0.922445669,"2,138,861",0.00,0.00,0.066543319
1980-06-12,13.862333298,13.951959610,13.683077812,13.862333298,0.922445669,"2,190,742",0.00,0.00,0.066543319
1980-06-13,13.862333298,14.131214142,13.832456589,14.071462631,0.936361829,"1,888,239",0.00,0.00,0.066543319
1980-06-16,14.071462631,14.429970741,14.041586876,14.429970741,0.960218149,"3,388,622",0.00,0.00,0.066543319
1980-06-17,14.429970741,14.429970741,14.071462631,14.071462631,0.936361829,"2,247,226",0.00,0.00,0.066543319
1980-06-18,14.071462631,14.280592918,14.071462631,14.250717163,0.948290021,"2,068,988",0.00,0.00,0.066543319
1980-06-19,14.250717163,14.280592918,13.772706032,13.832456589,0.920457574,"1,402,477",0.00,0.00,0.066543319
1980-06-20,13.832456589,13.951959610,13.802580833,13.832456589,0.920457574,"1,231,351",0.00,0.00,0.066543319
1980-06-23,13.832456589,14.161089897,13.832456589,14.071462631,0.936361829,"2,290,740",0.00,0.00,0.066543319
1980-06-24,14.071462631,14.190965652,13.981836319,14.190965652,0.944313957,"1,860,625",0.00,0.00,0.066543319
1980-06-25,14.190965652,14.400095940,14.101338387,14.280592918,0.950278053,"2,393,666",0.00,0.00,0.066543319
1980-06-26,14.280592918,14.400095940,14.131214142,14.161089897,0.942325925,"2,038,445",0.00,0.00,0.066543319
1980-06-27,14.161089897,14.340344429,14.041586876,14.280592918,0.950278053,"1,427,162",0.00,0.00,0.066543319
1980-06-30,14.220841408,14.220841408,13.951959610,14.041586876,0.934373797,"1,268,170",0.00,0.00,0.066543319
1980-07-01,14.041586876,14.250717163,13.951959610,14.220841408,0.946301989,"1,702,888",0.00,0.00,0.066543319
1980-07-02,14.220841408,14.579350471,14.190965652,14.489723206,0.964194276,"2,673,994",0.00,0.00,0.066543319
1980-07-03,14.489723206,14.698852539,14.489723206,14.609226227,0.972146404,"1,948,907",0.00,0.00,0.066543319
1980-07-07,14.609226227,14.878107071,14.579350471,14.818355560,0.986062564,"2,462,284",0.00,0.00,0.066543319
1980-07-08,14.818355560,14.878107071,14.639101028,14.758604050,0.982086500,"2,104,552",0.00,0.00,0.066543319
